Track for Fay           2008
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/14/2008 23:38:09     17.814 N     64.289 W
08/14/2008 23:40:10     17.816 N     64.293 W
08/14/2008 23:42:10     17.819 N     64.296 W
08/14/2008 23:44:09     17.822 N     64.300 W
08/14/2008 23:46:09     17.825 N     64.304 W
08/14/2008 23:48:10     17.827 N     64.308 W
08/14/2008 23:50:09     17.830 N     64.312 W
08/14/2008 23:52:09     17.833 N     64.315 W
08/14/2008 23:54:10     17.836 N     64.319 W
08/14/2008 23:56:10     17.839 N     64.323 W
08/14/2008 23:58:09     17.843 N     64.327 W
08/15/2008 00:00:09     17.846 N     64.331 W
08/15/2008 00:02:10     17.849 N     64.335 W
08/15/2008 00:04:10     17.853 N     64.338 W
08/15/2008 00:06:09     17.856 N     64.342 W
08/15/2008 00:08:09     17.859 N     64.346 W
08/15/2008 00:10:10     17.863 N     64.350 W
08/15/2008 00:12:10     17.867 N     64.354 W
08/15/2008 00:14:09     17.870 N     64.358 W
08/15/2008 00:16:09     17.874 N     64.362 W
08/15/2008 00:18:10     17.878 N     64.366 W
08/15/2008 00:20:09     17.881 N     64.370 W
08/15/2008 00:22:09     17.885 N     64.374 W
08/15/2008 00:24:10     17.889 N     64.378 W
08/15/2008 00:26:10     17.893 N     64.382 W
08/15/2008 00:28:09     17.897 N     64.386 W
08/15/2008 00:30:09     17.901 N     64.390 W
08/15/2008 00:32:10     17.905 N     64.394 W
08/15/2008 00:34:10     17.909 N     64.398 W
08/15/2008 00:36:09     17.913 N     64.402 W
08/15/2008 00:38:09     17.917 N     64.406 W
08/15/2008 00:40:10     17.921 N     64.410 W
08/15/2008 00:42:10     17.925 N     64.414 W
08/15/2008 00:44:09     17.930 N     64.418 W
08/15/2008 00:46:09     17.934 N     64.422 W
08/15/2008 00:48:10     17.938 N     64.426 W
08/15/2008 00:50:09     17.942 N     64.430 W
08/15/2008 00:52:09     17.946 N     64.434 W
08/15/2008 00:54:10     17.951 N     64.438 W
08/15/2008 00:56:10     17.955 N     64.442 W
08/15/2008 00:58:09     17.959 N     64.446 W
08/15/2008 01:00:09     17.964 N     64.450 W
08/15/2008 01:02:10     17.968 N     64.454 W
08/15/2008 01:04:10     17.972 N     64.458 W
08/15/2008 01:06:09     17.977 N     64.462 W
08/15/2008 01:08:09     17.981 N     64.466 W
08/15/2008 01:10:10     17.985 N     64.470 W
08/15/2008 01:12:10     17.989 N     64.474 W
08/15/2008 01:14:09     17.994 N     64.479 W
08/15/2008 01:16:09     17.998 N     64.483 W
08/15/2008 01:18:10     18.002 N     64.487 W
08/15/2008 01:20:09     18.007 N     64.491 W
08/15/2008 01:22:09     18.011 N     64.495 W
08/15/2008 01:24:10     18.015 N     64.499 W
08/15/2008 01:26:10     18.020 N     64.503 W
08/15/2008 01:28:09     18.024 N     64.507 W
08/15/2008 01:30:09     18.028 N     64.511 W
08/15/2008 01:32:10     18.032 N     64.515 W
08/15/2008 01:34:10     18.037 N     64.519 W
08/15/2008 01:36:09     18.041 N     64.523 W
08/15/2008 01:38:09     18.045 N     64.527 W
08/15/2008 01:40:10     18.049 N     64.531 W
08/15/2008 01:42:10     18.053 N     64.535 W
08/15/2008 01:44:09     18.057 N     64.539 W
08/15/2008 01:46:09     18.061 N     64.543 W
08/15/2008 01:48:10     18.065 N     64.547 W
08/15/2008 01:50:09     18.069 N     64.551 W
08/15/2008 01:52:09     18.073 N     64.555 W
08/15/2008 01:54:10     18.077 N     64.559 W
08/15/2008 01:56:10     18.081 N     64.562 W
08/15/2008 01:58:09     18.085 N     64.566 W
08/15/2008 02:00:09     18.089 N     64.570 W
08/15/2008 02:02:10     18.093 N     64.574 W
08/15/2008 02:04:10     18.096 N     64.578 W
08/15/2008 02:06:09     18.100 N     64.582 W
08/15/2008 02:08:09     18.104 N     64.586 W
08/15/2008 02:10:10     18.107 N     64.590 W
08/15/2008 02:12:10     18.111 N     64.594 W
08/15/2008 02:14:09     18.114 N     64.597 W
08/15/2008 02:16:09     18.118 N     64.601 W
08/15/2008 02:18:10     18.121 N     64.605 W
08/15/2008 02:20:09     18.124 N     64.609 W
08/15/2008 02:22:09     18.127 N     64.613 W
08/15/2008 02:24:10     18.131 N     64.616 W
08/15/2008 02:26:10     18.134 N     64.620 W
08/15/2008 02:28:09     18.137 N     64.624 W
08/15/2008 02:30:09     18.140 N     64.627 W
08/15/2008 02:32:10     18.143 N     64.631 W
08/15/2008 02:34:10     18.146 N     64.635 W
08/15/2008 02:36:09     18.148 N     64.639 W
08/15/2008 02:38:09     18.151 N     64.642 W
08/15/2008 02:40:10     18.154 N     64.646 W
08/15/2008 02:42:10     18.156 N     64.649 W
08/15/2008 02:44:09     18.159 N     64.653 W
08/15/2008 02:46:09     18.161 N     64.657 W
08/15/2008 02:48:10     18.163 N     64.660 W
08/15/2008 02:50:09     18.166 N     64.664 W
08/15/2008 02:52:09     18.168 N     64.667 W
08/15/2008 02:54:10     18.170 N     64.671 W
08/15/2008 02:56:10     18.172 N     64.674 W
08/15/2008 02:58:09     18.174 N     64.678 W
08/15/2008 03:00:09     18.176 N     64.681 W
08/15/2008 03:02:10     18.177 N     64.685 W
08/15/2008 03:04:10     18.179 N     64.688 W
08/15/2008 03:06:09     18.181 N     64.692 W
08/15/2008 03:08:09     18.182 N     64.695 W
08/15/2008 03:10:10     18.184 N     64.698 W
08/15/2008 03:12:10     18.185 N     64.702 W
08/15/2008 03:14:09     18.187 N     64.705 W
08/15/2008 03:16:09     18.188 N     64.708 W
08/15/2008 03:18:10     18.189 N     64.712 W
08/15/2008 03:20:09     18.191 N     64.715 W
08/15/2008 03:22:09     18.192 N     64.718 W
08/15/2008 03:24:10     18.193 N     64.722 W
08/15/2008 03:26:10     18.194 N     64.725 W
08/15/2008 03:28:09     18.195 N     64.728 W
08/15/2008 03:30:09     18.196 N     64.731 W
08/15/2008 03:32:10     18.197 N     64.735 W
